event_id_cnty,event_date,year,time_precision,disorder_type,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,civilian_targeting,iso,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,tags,timestamp
YEM24142,2018-09-26,2018,1,Political violence,Explosions/Remote violence,Air/drone strike,Operation Restoring Hope,Military Forces of Saudi Arabia (2015-),External/Other forces,,,,External/Other forces only,,887,Middle East,Yemen,Sadah,Shadaa,,Al Mashaf,16.8584,43.1978,2,Yemen Data Project; Yemen News Agency SABA,Local partner-National,"Two Saudi-led coalition air raids, along with Saudi rocket and artillery shelling, were reported on Shada border district in northwestern Yemen, Sadah governorate. No casualties were reported.",0,,1727740402
SYR118853,2023-10-05,2023,1,Political violence,Explosions/Remote violence,Shelling/artillery/missile attack,HTS: Hayat Tahrir al Sham,,Rebel group,Military Forces of Syria (2000-),,State forces,State forces-Rebel group,,760,Middle East,Syria,Lattakia,Al Haffa,Kansaba,Nahshabba,35.7304,36.197,2,SHAAM,National,"On 5 October 2023, HTS shelled regime forces positions on Nahshabba axis in Lattakia countryside with B9 shells. Casualties unknown.",0,,1720478997
PSE26343,2019-02-04,2019,1,Political violence,Violence against civilians,Attack,Settlers (Israel),,Political militia,Civilians (Palestine),,Civilians,Political militia-Civilians,Civilian targeting,275,Middle East,Palestine,West Bank,Hebron,,Hebron - Bab az Zawiyah,31.5278,35.1014,1,PLO Negotiations Affairs Department,Other,"On 4 February 2019, Israeli settlers ran over of a Palestinian minor with their car in Jaber area in the Old City of Hebron (coded as Hebron - Bab az Zawiyah). The Palestinian was hospitalized with contusions.",0,,1673314261
YEM14617,2016-05-09,2016,1,Political violence,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Yemen (2012-2022) Hadi,,State forces,,,,State forces only,,887,Middle East,Yemen,Sanaa,Nihm,,Bani Bariq,15.7364,44.5606,1,Yemen News Agency SABA,National,"The Yemeni army (Hadi) and pro-Hadi militiamen fired medium and heavy weapons at the Bani Bariq area of the Nihm district, Sanaa governorate. No casualties were reported.",0,,1690843512
SYR37579,2017-08-02,2017,1,Political violence,Explosions/Remote violence,Remote explosive/landmine/IED,Islamic State in Iraq and the Levant (ISIL),,Rebel group,Civilians (Syria),,Civilians,Rebel group-Civilians,Civilian targeting,760,Middle East,Syria,Ar Raqqa,Ar Raqqa,Karama,Hamrat Balasim,35.8795,39.1974,1,SNHR,Local partner-Other,The explosion of a landmine planted by the Islamic State killed a man in the village of Hamrat Balasim.,1,,1730157036
YEM57957,2020-09-16,2020,1,Political violence,Battles,Armed clash,Unidentified Armed Group (Yemen),,Political militia,Military Forces of Yemen (2012-2022) Hadi - 17th Infantry Brigade,Al Islah Party,State forces,State forces-Political militia,,887,Middle East,Yemen,Taizz,Sharab Ar Rawnah,,Al Karbah,13.7864,43.768,2,Yemen Data Project; YNP,Local partner-National,"On 16 September 2020, an unidentified armed group attacked location of the pro-Islah 17th Infantry brigade in Al Mabha and Tubayshiah (Jabal Habashy, Taizz) and Al Karbah (Sharab Ar Rawnah). The clashes resulted in deaths and injuries. Unclear fatalities coded as 10 and split over three locations.",3,,1715049815
YEM36281,2015-07-15,2015,1,Strategic developments,Strategic developments,Disrupted weapons use,Military Forces of Yemen (2015-2017) Houthi-Saleh,,State forces,Unidentified Armed Group (Yemen),,Political militia,State forces-Political militia,,887,Middle East,Yemen,Amanat al Asimah,Bani Al Harith,,Sanaa - Bani Hawat,15.4725,44.2297,1,Al Fajr Al Yemeni; Yemen Data Project,Local partner-National,"Defusal: On 15 July 2015, security forces reportedly defused an IED planted under Amran junction bridge in Bani Al-Harith district.",0,,1690843385
TUR16125,2021-04-16,2021,1,Strategic developments,Strategic developments,Change to group/activity,Government of Turkey (2016-),,State forces,,,,State forces only,,792,Middle East,Turkey,Hakkari,Hakkari,,Hakkari,37.5744,43.7408,3,Haberler; Mezopotamya Agency; Rudaw,National-Regional,"Security measures: On 16 April 2021, Hakkari Governor's Office issued a ban on all forms of marches, protests, press conferences, sit-ins and other political gatherings in the province for 15 days. Although the announcement indicated that the restriction aims to curb the coronavirus outbreak, similar measures have been imposed in the province (and several other south-eastern provinces) for some years to maintain public order, allegedly against political events that can be organized by Kurdish movement.",0,,1727134608
SYR118801,2023-10-05,2023,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Turkey (2016-),,External/Other forces,YPG: Peoples Protection Units,,Rebel group,Rebel group-External/Other forces,,760,Middle East,Syria,Aleppo,Azaz,Tall Refaat,Ein Daqneh,36.5248,37.0776,1,Facebook,New media,"On 5 October 2023, a Turkish drone conducted an airstrike targeting a YPG position in Ein Daqneh town in Aleppo countryside. Casualties unknown.",0,,1720478997
BHR726,2018-06-29,2018,1,Demonstrations,Protests,Peaceful protest,Protesters (Bahrain),Shiite Muslim Group (Bahrain),Protesters,,,,Protesters only,,48,Middle East,Bahrain,Northern,,,Abu Saybi,26.2175,50.5069,1,Bahrain Alyoum,National,"On 29 June 2018, a protest was held in Abu Saybi in the context of the International Day in Support of Victims of Torture, and pictures of political prisoners detained in recent raids were raised.",0,,1700533760
